Repo	ID	Number	User	State	Comments	Created	Response	Updated	Closed
Teichlab/bbknn	365209431	2	wangjiawen2013	closed	3	2018-09-30T09:33:59Z	2018-09-30T09:48:37Z	2018-09-30T14:23:39Z	2018-09-30T09:48:37Z
Teichlab/bbknn	352963801	1	ilyakorsunsky	closed	4	2018-08-22T13:53:08Z	2018-08-22T15:15:07Z	2018-09-30T14:23:52Z	2018-08-23T11:36:46Z
kharchenkolab/conos	705734155	88	lazappi	closed	8	2020-09-21T16:09:15Z	2020-09-21T16:21:00Z	2020-09-23T08:57:41Z	2020-09-23T08:57:41Z
kharchenkolab/conos	681946949	87	epiBioCore	open	3	2020-08-19T15:43:29Z	2020-08-19T18:16:22Z	2020-08-19T19:44:27Z	NA
kharchenkolab/conos	665757242	81	Lukadon77	open	2	2020-07-26T10:48:40Z	2020-07-26T14:40:26Z	2020-07-27T04:18:16Z	NA
kharchenkolab/conos	649289687	68	tanasa	closed	10	2020-07-01T20:13:27Z	2020-07-01T21:01:57Z	2020-07-02T19:41:00Z	2020-07-01T23:22:30Z
kharchenkolab/conos	632012200	66	sroyyors	closed	5	2020-06-05T22:15:49Z	2020-06-06T16:39:14Z	2020-06-08T23:16:22Z	2020-06-08T23:16:22Z
kharchenkolab/conos	607347187	63	honghh2018	closed	2	2020-04-27T08:32:45Z	2020-05-10T12:18:30Z	2020-05-11T06:04:34Z	2020-05-11T06:04:34Z
kharchenkolab/conos	604206801	62	VPetukhov	open	2	2020-04-21T18:51:23Z	2020-04-21T19:33:05Z	2020-04-21T19:54:45Z	NA
kharchenkolab/conos	603475082	61	imranfanaswala	closed	2	2020-04-20T19:22:44Z	2020-04-20T20:20:23Z	2020-04-20T20:31:41Z	2020-04-20T20:31:41Z
kharchenkolab/conos	577170030	60	VPetukhov	closed	1	2020-03-06T20:53:36Z	2020-09-11T21:06:13Z	2020-09-11T21:06:13Z	2020-09-11T21:06:13Z
kharchenkolab/conos	576823776	59	rrydbirk	closed	4	2020-03-06T10:03:23Z	2020-03-17T19:52:19Z	2020-03-17T19:55:09Z	2020-03-17T19:49:11Z
kharchenkolab/conos	567775000	58	mea2712	closed	0	2020-02-19T18:58:11Z	2020-02-23T11:06:34Z	2020-02-23T11:06:34Z	2020-02-23T11:06:34Z
kharchenkolab/conos	564858046	57	carbycrab	closed	2	2020-02-13T18:03:00Z	2020-02-28T14:10:58Z	2020-04-21T18:58:31Z	2020-04-21T18:58:31Z
kharchenkolab/conos	556953591	56	JenniferWUSTL	open	11	2020-01-29T15:54:08Z	2020-02-01T10:53:33Z	2020-07-25T22:35:20Z	NA
kharchenkolab/conos	555207302	55	tanasa	closed	3	2020-01-26T10:15:36Z	2020-01-28T08:51:53Z	2020-07-01T23:26:07Z	2020-07-01T23:26:06Z
kharchenkolab/conos	548276955	54	bony45	closed	1	2020-01-10T20:32:50Z	2020-01-11T12:42:55Z	2020-01-11T17:18:00Z	2020-01-11T17:18:00Z
kharchenkolab/conos	544258303	53	bony45	closed	5	2019-12-31T19:46:01Z	2019-12-31T20:08:44Z	2020-01-07T20:42:49Z	2020-01-07T20:42:49Z
kharchenkolab/conos	538510735	52	connorhknight	closed	2	2019-12-16T16:15:19Z	2019-12-16T22:03:45Z	2020-07-01T23:24:00Z	2020-07-01T23:24:00Z
kharchenkolab/conos	523315618	51	rrydbirk	closed	3	2019-11-15T08:03:29Z	2019-11-27T11:42:38Z	2019-12-04T11:22:47Z	2019-12-04T11:22:46Z
kharchenkolab/conos	522094957	50	ccshao	closed	3	2019-11-13T10:09:01Z	2019-11-13T14:17:56Z	2019-11-13T21:21:12Z	2019-11-13T15:08:50Z
kharchenkolab/conos	520004571	49	rrydbirk	closed	3	2019-11-08T13:06:06Z	2020-07-03T18:31:02Z	2020-07-23T03:01:50Z	2020-07-23T03:01:50Z
kharchenkolab/conos	517190176	48	VPetukhov	closed	1	2019-11-04T14:31:12Z	2020-07-08T22:02:00Z	2020-07-08T22:02:00Z	2020-07-08T22:02:00Z
kharchenkolab/conos	516075787	47	GMaciag	closed	0	2019-11-01T12:12:43Z	2020-07-13T21:52:11Z	2020-07-13T21:52:11Z	2020-07-13T21:52:11Z
kharchenkolab/conos	516068758	46	VPetukhov	open	1	2019-11-01T11:54:58Z	NA	2020-09-11T21:06:44Z	NA
kharchenkolab/conos	512858353	43	pkharchenko	closed	1	2019-10-26T16:47:24Z	2019-10-27T18:13:21Z	2019-10-27T18:13:21Z	2019-10-27T18:13:21Z
kharchenkolab/conos	512408797	42	josegarciamanteiga	closed	3	2019-10-25T09:32:38Z	2019-10-25T09:44:16Z	2020-09-11T20:39:26Z	2020-09-11T20:39:26Z
kharchenkolab/conos	511984021	41	VPetukhov	closed	2	2019-10-24T14:30:34Z	2020-07-02T01:00:19Z	2020-07-13T21:51:16Z	2020-07-13T21:51:16Z
kharchenkolab/conos	502566793	37	VPetukhov	closed	1	2019-10-04T10:49:11Z	2019-10-04T16:36:12Z	2019-10-04T16:36:12Z	2019-10-04T16:36:12Z
kharchenkolab/conos	492803854	36	danielStrobl	closed	1	2019-09-12T13:24:00Z	2019-10-23T10:04:37Z	2019-10-23T10:04:37Z	2019-10-23T10:04:37Z
kharchenkolab/conos	492086264	35	danielStrobl	closed	8	2019-09-11T08:18:08Z	2019-09-11T09:44:57Z	2019-10-25T12:50:06Z	2019-10-25T12:50:06Z
kharchenkolab/conos	482787890	34	GMaciag	closed	4	2019-08-20T10:52:04Z	2019-10-14T01:26:50Z	2019-10-17T09:55:18Z	2019-10-17T09:55:18Z
kharchenkolab/conos	482476390	33	DuaaAlawad	closed	2	2019-08-19T19:03:56Z	2019-08-20T07:30:34Z	2019-08-20T21:19:51Z	2019-08-20T21:19:51Z
kharchenkolab/conos	468845517	32	b1lake	closed	2	2019-07-16T20:21:07Z	2019-07-16T20:54:04Z	2019-07-16T20:59:31Z	2019-07-16T20:54:04Z
kharchenkolab/conos	467658566	31	fanzheng10	closed	6	2019-07-13T02:31:51Z	2019-07-13T19:15:56Z	2019-07-16T09:15:59Z	2019-07-16T09:15:59Z
kharchenkolab/conos	463648921	30	GMaciag	closed	11	2019-07-03T09:37:02Z	2019-07-03T10:37:10Z	2020-02-19T17:37:13Z	2019-10-09T07:23:56Z
kharchenkolab/conos	456659870	27	meipingchang	closed	3	2019-06-16T16:43:44Z	2019-06-20T14:17:00Z	2020-07-01T23:25:21Z	2020-07-01T23:25:21Z
kharchenkolab/conos	452042572	26	githubz0r	closed	2	2019-06-04T14:50:17Z	2019-06-04T15:05:17Z	2019-06-06T12:13:57Z	2019-06-06T12:13:57Z
kharchenkolab/conos	451143497	25	gxg2002cn	closed	3	2019-06-02T01:59:49Z	2019-06-03T11:02:04Z	2019-06-03T11:02:04Z	2019-06-02T19:52:51Z
kharchenkolab/conos	442715725	24	ACastanza	closed	4	2019-05-10T13:18:34Z	2019-05-10T13:54:33Z	2019-10-23T10:03:01Z	2019-10-23T10:03:00Z
kharchenkolab/conos	442521222	23	ACastanza	closed	1	2019-05-10T03:23:25Z	2020-07-02T01:07:40Z	2020-07-02T01:07:40Z	2020-07-02T01:07:40Z
kharchenkolab/conos	433672021	22	rrydbirk	closed	6	2019-04-16T09:20:30Z	2019-04-16T12:17:27Z	2019-10-12T09:39:52Z	2019-10-12T09:39:52Z
kharchenkolab/conos	433670877	21	rrydbirk	closed	5	2019-04-16T09:17:57Z	2019-04-16T12:15:46Z	2020-07-02T03:17:00Z	2020-07-02T00:57:23Z
kharchenkolab/conos	433439177	20	VPetukhov	closed	7	2019-04-15T19:20:17Z	2020-07-02T01:00:04Z	2020-07-13T21:51:55Z	2020-07-13T21:51:55Z
kharchenkolab/conos	432485573	19	GMaciag	closed	1	2019-04-12T09:58:35Z	2019-04-15T17:15:52Z	2019-04-15T17:15:53Z	2019-04-15T17:15:52Z
kharchenkolab/conos	431742011	17	VPetukhov	closed	1	2019-04-10T22:16:11Z	2019-10-25T13:16:08Z	2019-10-25T13:16:08Z	2019-10-25T13:16:08Z
kharchenkolab/conos	431627803	16	VPetukhov	open	1	2019-04-10T17:38:07Z	NA	2020-09-11T21:06:34Z	NA
kharchenkolab/conos	428710506	15	GMaciag	closed	1	2019-04-03T11:20:55Z	2019-04-04T22:35:29Z	2019-04-04T22:35:29Z	2019-04-04T22:35:29Z
kharchenkolab/conos	427013389	14	GMaciag	closed	6	2019-03-29T14:27:24Z	2019-03-29T14:46:48Z	2019-03-30T12:06:16Z	2019-03-30T12:06:16Z
kharchenkolab/conos	426981256	13	VPetukhov	closed	4	2019-03-29T13:17:08Z	2019-03-29T13:19:40Z	2019-03-29T15:09:04Z	2019-03-29T15:09:03Z
kharchenkolab/conos	400926058	12	EugOT	closed	4	2019-01-18T23:23:22Z	2019-01-19T00:06:38Z	2019-01-21T07:50:03Z	2019-01-21T07:50:03Z
kharchenkolab/conos	400909029	11	lijiang825	closed	16	2019-01-18T22:13:10Z	2019-02-22T15:23:00Z	2020-07-23T15:43:13Z	2020-07-23T15:43:13Z
kharchenkolab/conos	400459442	10	DanSchnell	closed	7	2019-01-17T20:56:08Z	2019-01-17T21:36:53Z	2019-03-12T20:37:23Z	2019-03-12T20:37:23Z
kharchenkolab/conos	387705465	9	gxg2002cn	closed	2	2018-12-05T11:06:42Z	2018-12-05T11:14:57Z	2019-03-12T20:36:35Z	2019-03-12T20:36:35Z
kharchenkolab/conos	383612854	8	VPetukhov	closed	0	2018-11-22T17:03:45Z	2020-08-27T21:47:17Z	2020-08-27T21:47:17Z	2020-08-27T21:47:17Z
kharchenkolab/conos	380779760	7	gabprg	closed	3	2018-11-14T16:27:24Z	2018-11-14T16:44:06Z	2019-01-19T00:25:12Z	2019-01-19T00:25:11Z
kharchenkolab/conos	365163326	6	barkasn	closed	0	2018-09-29T20:12:00Z	2018-10-29T17:31:50Z	2018-10-29T17:31:50Z	2018-10-29T17:31:50Z
kharchenkolab/conos	365162340	5	solrust	closed	1	2018-09-29T19:57:13Z	2018-09-29T20:01:23Z	2018-10-29T17:31:50Z	2018-10-29T17:31:50Z
kharchenkolab/conos	365157633	4	barkasn	closed	4	2018-09-29T18:52:40Z	2018-09-29T20:03:10Z	2018-11-05T13:24:14Z	2018-11-05T13:24:14Z
kharchenkolab/conos	365157590	3	barkasn	closed	1	2018-09-29T18:52:16Z	2018-11-05T13:24:24Z	2018-11-05T13:24:24Z	2018-11-05T13:24:24Z
kharchenkolab/conos	365152199	2	barkasn	closed	0	2018-09-29T17:42:02Z	2019-04-04T22:36:13Z	2019-04-04T22:36:13Z	2019-04-04T22:36:13Z
kharchenkolab/conos	346583084	1	barkasn	closed	1	2018-08-01T12:42:34Z	2018-08-01T13:59:04Z	2018-08-01T13:59:04Z	2018-08-01T13:59:04Z
immunogenomics/harmony	718136068	108	peixiaoya	open	0	2020-10-09T13:13:37Z	NA	2020-10-09T13:15:36Z	NA
immunogenomics/harmony	709721081	107	xs-sean	open	0	2020-09-27T11:22:46Z	NA	2020-09-27T11:22:46Z	NA
immunogenomics/harmony	707396491	106	frederikziebell	open	0	2020-09-23T14:04:00Z	NA	2020-09-23T14:04:00Z	NA
immunogenomics/harmony	692585884	105	yingyonghui	open	0	2020-09-04T01:39:38Z	NA	2020-09-04T01:39:38Z	NA
immunogenomics/harmony	691530921	104	jennapappalardo	open	0	2020-09-03T00:35:11Z	NA	2020-09-03T00:35:11Z	NA
immunogenomics/harmony	691052576	103	jzhou88	open	2	2020-09-02T14:06:12Z	2020-09-07T14:10:50Z	2020-09-07T14:17:10Z	NA
immunogenomics/harmony	685674514	102	amjass12	open	0	2020-08-25T17:47:22Z	NA	2020-08-25T17:47:22Z	NA
immunogenomics/harmony	677518883	101	Lukadon77	open	0	2020-08-12T08:52:35Z	NA	2020-08-12T08:52:35Z	NA
immunogenomics/harmony	676350602	100	zji90	open	0	2020-08-10T19:05:55Z	NA	2020-08-10T19:05:55Z	NA
immunogenomics/harmony	673214301	99	RuiqinZheng	open	1	2020-08-05T02:58:09Z	NA	2020-08-05T03:42:06Z	NA
immunogenomics/harmony	671782227	98	RuiqinZheng	open	0	2020-08-03T04:20:19Z	NA	2020-08-03T04:20:19Z	NA
immunogenomics/harmony	666434618	97	shaln	open	4	2020-07-27T16:45:16Z	2020-09-10T16:39:16Z	2020-10-14T11:48:56Z	NA
immunogenomics/harmony	663942495	96	carlosf79	open	0	2020-07-22T17:51:19Z	NA	2020-07-22T17:51:19Z	NA
immunogenomics/harmony	656933783	95	rojinsafavi	open	0	2020-07-14T22:22:08Z	NA	2020-07-14T22:22:08Z	NA
immunogenomics/harmony	656696195	94	daymegr	open	0	2020-07-14T15:20:40Z	NA	2020-07-14T15:20:40Z	NA
immunogenomics/harmony	656137818	93	micdonato	open	0	2020-07-13T21:05:04Z	NA	2020-07-13T21:05:04Z	NA
immunogenomics/harmony	642974210	92	amjass12	closed	1	2020-06-22T11:04:23Z	2020-07-06T14:30:15Z	2020-07-06T16:35:28Z	2020-07-06T14:30:15Z
immunogenomics/harmony	627286273	91	kvshams	closed	1	2020-05-29T13:55:34Z	2020-06-09T17:30:06Z	2020-07-05T20:26:04Z	2020-07-05T20:26:04Z
immunogenomics/harmony	627284324	90	ankushs0128	open	27	2020-05-29T13:52:31Z	2020-06-15T10:55:31Z	2020-10-14T17:31:01Z	NA
immunogenomics/harmony	621506968	89	Cumol	open	1	2020-05-20T06:52:18Z	NA	2020-05-25T15:00:37Z	NA
immunogenomics/harmony	616637225	88	newuser0101	closed	2	2020-05-12T13:00:36Z	2020-07-06T13:00:22Z	2020-07-07T19:09:39Z	2020-07-06T14:44:48Z
immunogenomics/harmony	608450114	87	clarsenEmory	closed	11	2020-04-28T16:25:57Z	2020-05-11T18:53:54Z	2020-07-07T19:09:22Z	2020-07-06T14:45:41Z
immunogenomics/harmony	606761311	86	Sophiesze	open	2	2020-04-25T12:39:11Z	2020-05-13T10:48:42Z	2020-07-06T14:54:19Z	NA
immunogenomics/harmony	603524583	85	arielyh	closed	2	2020-04-20T20:46:50Z	2020-04-21T10:21:49Z	2020-04-21T14:08:18Z	2020-04-21T14:08:18Z
immunogenomics/harmony	602285400	84	liboxun	closed	0	2020-04-17T23:30:36Z	2020-05-01T22:56:53Z	2020-05-01T22:56:53Z	2020-05-01T22:56:53Z
immunogenomics/harmony	599551640	83	shaln	closed	0	2020-04-14T12:56:07Z	2020-04-17T16:48:26Z	2020-04-17T16:48:26Z	2020-04-17T16:48:26Z
immunogenomics/harmony	598712991	82	cnk113	open	1	2020-04-13T06:56:14Z	2020-05-20T08:01:05Z	2020-05-20T08:01:05Z	NA
immunogenomics/harmony	590379915	81	silvainp	closed	2	2020-03-30T15:25:10Z	2020-07-06T13:01:31Z	2020-07-07T19:09:34Z	2020-07-06T14:45:04Z
immunogenomics/harmony	587706224	80	masato-ogishi	closed	1	2020-03-25T13:43:27Z	2020-04-05T21:27:34Z	2020-04-05T21:27:34Z	2020-04-05T21:27:34Z
immunogenomics/harmony	580441423	79	yejg2017	closed	1	2020-03-13T08:17:03Z	2020-07-06T14:54:38Z	2020-07-06T14:54:38Z	2020-07-06T14:54:38Z
immunogenomics/harmony	573536785	78	kaizen89	open	0	2020-03-01T12:17:49Z	NA	2020-03-01T12:20:18Z	NA
immunogenomics/harmony	572864001	77	chintanparekh2301	open	1	2020-02-28T16:35:38Z	2020-02-28T16:41:50Z	2020-07-07T19:13:53Z	NA
immunogenomics/harmony	566014828	75	Winnie09	closed	1	2020-02-17T02:00:57Z	2020-02-17T04:26:11Z	2020-02-19T18:15:04Z	2020-02-19T18:15:04Z
immunogenomics/harmony	565170685	74	yuGithuuub	closed	2	2020-02-14T08:14:00Z	2020-02-19T21:44:24Z	2020-02-19T21:49:26Z	2020-02-19T21:44:24Z
immunogenomics/harmony	563628956	73	jiayiliujiayi	open	1	2020-02-12T00:07:03Z	2020-08-10T10:08:44Z	2020-08-10T10:08:44Z	NA
immunogenomics/harmony	562276255	72	EDYAC	closed	1	2020-02-10T01:19:22Z	2020-02-14T04:52:40Z	2020-02-19T18:14:52Z	2020-02-19T18:14:52Z
immunogenomics/harmony	562130248	71	rahulnutron	closed	2	2020-02-09T06:24:45Z	2020-10-15T02:36:53Z	2020-10-15T02:36:53Z	2020-02-09T08:46:30Z
immunogenomics/harmony	557837489	70	igordot	closed	5	2020-01-31T00:23:09Z	2020-02-14T05:01:57Z	2020-07-31T21:53:33Z	2020-02-23T16:28:14Z
immunogenomics/harmony	555208045	69	tanasa	closed	2	2020-01-26T10:23:33Z	2020-02-14T05:56:49Z	2020-02-19T18:54:25Z	2020-02-19T18:46:34Z
immunogenomics/harmony	553718825	68	w2niva	closed	1	2020-01-22T18:32:27Z	2020-02-14T06:02:57Z	2020-02-19T19:54:11Z	2020-02-19T19:54:11Z
immunogenomics/harmony	553630406	67	JPingLin	closed	1	2020-01-22T15:51:07Z	2020-02-17T04:32:31Z	2020-02-19T18:14:40Z	2020-02-19T18:14:40Z
immunogenomics/harmony	553136302	66	JuHey	closed	2	2020-01-21T21:20:24Z	2020-02-19T16:53:32Z	2020-03-18T03:09:59Z	2020-02-19T16:53:32Z
immunogenomics/harmony	550845352	65	connorhknight	closed	1	2020-01-16T14:32:48Z	2020-01-17T18:21:24Z	2020-02-19T18:16:46Z	2020-02-19T18:16:46Z
immunogenomics/harmony	549798078	64	w2niva	closed	1	2020-01-14T20:24:52Z	2020-02-19T18:37:25Z	2020-02-19T18:37:25Z	2020-02-19T18:37:25Z
immunogenomics/harmony	549165002	63	SaraVerbandt	closed	2	2020-01-13T20:32:32Z	2020-01-14T00:11:19Z	2020-01-14T12:48:11Z	2020-01-14T12:48:11Z
immunogenomics/harmony	547901531	62	DarioS	closed	1	2020-01-10T07:00:14Z	2020-02-19T19:01:51Z	2020-02-19T19:01:51Z	2020-02-19T19:01:51Z
immunogenomics/harmony	546555972	61	jydong123	closed	1	2020-01-07T23:09:15Z	2020-02-19T18:48:51Z	2020-02-19T18:48:51Z	2020-02-19T18:48:51Z
immunogenomics/harmony	541188050	60	slowkow	closed	1	2019-12-20T20:36:58Z	2020-02-19T18:28:39Z	2020-02-19T18:28:39Z	2020-02-19T18:28:39Z
immunogenomics/harmony	540442057	58	slowkow	closed	1	2019-12-19T17:07:13Z	2020-02-19T18:17:55Z	2020-02-19T18:17:55Z	2020-02-19T18:17:55Z
immunogenomics/harmony	539766938	57	xuzhougeng	closed	2	2019-12-18T15:53:29Z	2020-01-09T19:33:14Z	2020-02-24T14:55:19Z	2020-02-24T14:55:19Z
immunogenomics/harmony	534931203	56	ktpolanski	closed	6	2019-12-09T13:27:44Z	2020-02-19T21:14:15Z	2020-02-24T15:18:57Z	2020-02-19T22:21:03Z
immunogenomics/harmony	529774094	55	anyone1985	closed	1	2019-11-28T08:54:13Z	2020-02-19T19:17:34Z	2020-02-19T19:17:34Z	2020-02-19T19:17:34Z
immunogenomics/harmony	520044779	54	kaizen89	closed	4	2019-11-08T14:28:33Z	2019-11-21T16:32:20Z	2020-02-19T20:30:38Z	2020-02-19T20:30:38Z
immunogenomics/harmony	515694345	53	plantformatics	closed	1	2019-10-31T19:39:01Z	2020-02-19T18:46:06Z	2020-02-19T18:46:08Z	2020-02-19T18:46:08Z
immunogenomics/harmony	504665774	52	lc822	closed	5	2019-10-09T13:49:40Z	2019-11-12T12:11:32Z	2020-02-19T19:04:30Z	2020-02-19T19:04:30Z
immunogenomics/harmony	504167277	51	lc822	closed	2	2019-10-08T17:06:37Z	2019-11-21T15:07:14Z	2019-11-21T15:13:09Z	2019-11-21T15:13:04Z
immunogenomics/harmony	496705621	50	EugOT	closed	1	2019-09-21T21:55:24Z	2020-02-19T19:04:00Z	2020-02-19T19:04:00Z	2020-02-19T19:04:00Z
immunogenomics/harmony	489082211	49	ersgupta	closed	3	2019-09-04T10:42:41Z	2019-12-18T17:37:42Z	2020-02-19T19:48:36Z	2020-02-19T19:48:36Z
immunogenomics/harmony	486036176	48	whitleyo	closed	2	2019-08-27T21:10:09Z	2020-02-19T16:15:40Z	2020-05-14T11:25:06Z	2020-02-19T16:27:58Z
immunogenomics/harmony	485830660	47	whitleyo	closed	1	2019-08-27T14:02:24Z	2020-02-19T16:24:46Z	2020-02-19T16:24:46Z	2020-02-19T16:24:46Z
immunogenomics/harmony	479699165	46	zhou-ran	closed	0	2019-08-12T15:08:10Z	2019-08-22T13:47:12Z	2019-08-22T13:47:12Z	2019-08-22T13:47:12Z
immunogenomics/harmony	477468586	44	fede86	closed	1	2019-08-06T16:06:25Z	2020-02-19T18:52:14Z	2020-02-19T18:52:14Z	2020-02-19T18:52:14Z
immunogenomics/harmony	477068595	43	timoast	closed	1	2019-08-05T21:34:29Z	2019-08-05T22:18:48Z	2019-08-05T22:36:24Z	2019-08-05T22:36:24Z
immunogenomics/harmony	475416998	42	kaji331	closed	4	2019-08-01T00:42:52Z	2019-08-05T22:17:28Z	2020-02-19T16:00:25Z	2020-02-19T16:00:25Z
immunogenomics/harmony	472462931	41	kvshams	closed	19	2019-07-24T19:20:05Z	2019-08-05T22:20:56Z	2020-06-13T13:33:31Z	2020-02-19T18:49:30Z
immunogenomics/harmony	460128827	39	bio-la	closed	2	2019-06-24T22:46:32Z	2019-08-05T22:26:37Z	2020-02-19T18:35:00Z	2020-02-19T18:35:00Z
immunogenomics/harmony	455341339	38	StanleyYang01	closed	4	2019-06-12T17:40:40Z	2019-08-05T22:25:28Z	2020-02-19T19:52:13Z	2020-02-19T19:52:12Z
immunogenomics/harmony	452707548	37	vbarrera	closed	2	2019-06-05T20:43:31Z	2019-06-09T20:18:03Z	2019-06-10T16:37:19Z	2019-06-10T16:37:18Z
immunogenomics/harmony	440145928	33	r3fang	closed	0	2019-05-03T17:30:55Z	2019-05-03T19:01:47Z	2019-05-03T19:01:47Z	2019-05-03T19:01:47Z
immunogenomics/harmony	438079997	25	QqQss	closed	8	2019-04-28T17:25:23Z	2019-08-05T22:34:04Z	2020-09-07T07:20:13Z	2020-02-19T21:31:20Z
immunogenomics/harmony	437937071	24	QqQss	closed	2	2019-04-27T12:08:37Z	2019-07-22T14:16:43Z	2019-11-20T05:06:52Z	2019-11-20T05:06:52Z
immunogenomics/harmony	437575061	23	ahy1221	closed	1	2019-04-26T09:10:48Z	2019-08-05T22:35:36Z	2019-08-05T22:35:42Z	2019-08-05T22:35:42Z
immunogenomics/harmony	419758452	18	dpcook	closed	5	2019-03-12T01:28:24Z	2019-03-14T05:17:14Z	2019-06-09T20:26:05Z	2019-06-09T20:26:05Z
immunogenomics/harmony	412687731	17	EDYAC	closed	1	2019-02-21T00:07:37Z	2019-04-18T19:18:14Z	2019-06-09T20:26:30Z	2019-06-09T20:26:30Z
immunogenomics/harmony	412602581	16	FloWuenne	closed	2	2019-02-20T19:58:46Z	2019-04-18T19:21:57Z	2019-06-18T21:00:00Z	2019-06-09T20:25:56Z
immunogenomics/harmony	410825360	15	ShuyangZhao	closed	2	2019-02-15T15:41:31Z	2019-04-18T19:24:49Z	2019-04-18T20:20:23Z	2019-04-18T20:20:23Z
immunogenomics/harmony	410415219	14	cane11	closed	1	2019-02-14T17:41:06Z	2019-04-18T19:14:21Z	2019-06-09T20:20:44Z	2019-06-09T20:20:44Z
immunogenomics/harmony	409581093	13	wangjiawen2013	closed	3	2019-02-13T01:30:38Z	2019-04-18T19:29:37Z	2020-02-19T21:11:30Z	2020-02-19T21:11:30Z
immunogenomics/harmony	405470305	12	sumeetpalsingh	closed	10	2019-01-31T22:32:46Z	2019-02-02T03:43:47Z	2019-07-02T18:57:37Z	2019-05-10T20:31:03Z
immunogenomics/harmony	405450762	11	catsargent	closed	2	2019-01-31T21:35:17Z	2019-02-12T03:01:47Z	2019-06-09T20:20:33Z	2019-06-09T20:20:33Z
